Customer ID,Gender,Region,Product Name,Category,Age,Unit Price,Quantity,Total Price,Shipping Fee,Order Date,Shipping Status,,,Descriptve analysis,,,,,,,,,,
CUST0268,Male,North,Monitor,Electronics,49,300,5,1500,13.31,12/8/2023,Returned,,Age,,Unit Price,,Quantity,,Total Price,,Shipping Fee,,Order Date,
CUST0046,Male,West,Headphones,Accessories,22,100,2,200,6.93,4/9/2023,In Transit,,,,,,,,,,,,,
CUST0169,Female,South,Monitor,Electronics,54,300,1,300,11.31,8/28/2023,Returned,,Mean,46.926,Mean,457.703777,Mean,3.008,Mean,1346.6,Mean,12.41639,Mean,45114.813
CUST0002,Male,North,Headphones,Accessories,23,100,5,500,12.22,1/18/2023,Delivered,,Standard Error,0.450847854,Standard Error,16.98874963,Standard Error,0.04440617,Standard Error,57.99737007,Standard Error,0.139525538,Standard Error,3.430977942
CUST0173,Female,South,Laptop,Electronics,49,1500,3,4500,5.4,1/19/2023,Delivered,,Median,49,Median,200,Median,3,Median,600,Median,12.315,Median,45119.5
CUST0147,Male,North,Smartwatch,Wearables,64,200,2,400,11.26,1/11/2023,In Transit,,Mode,49,Mode,300,Mode,3,Mode,200,Mode,10.03,Mode,45294
CUST0262,Male,East,Smartwatch,Wearables,27,200,1,200,18.38,10/23/2023,In Transit,,Standard Deviation,14.25706098,Standard Deviation,537.2314344,Standard Deviation,1.404246384,Standard Deviation,1834.037877,Standard Deviation,4.412184906,Standard Deviation,108.497049
CUST0159,Female,South,Keyboard,Accessories,18,50,2,100,15.08,6/15/2023,Returned,,Sample Variance,203.2637878,Sample Variance,288617.6141,Sample Variance,1.971907908,Sample Variance,3363694.935,Sample Variance,19.46737564,Sample Variance,11771.60964
CUST0046,Female,East,Mouse,Accessories,22,30,1,30,8.22,2/25/2023,Returned,,Kurtosis,-0.871056386,Kurtosis,1.755092197,Kurtosis,-1.274238841,Kurtosis,3.021829562,Kurtosis,-1.201056996,Kurtosis,-1.193621597
CUST0023,Male,West,Headphones,Accessories,29,100,3,300,10.7,4/23/2023,Delivered,,Skewness,-0.33303802,Skewness,1.466267385,Skewness,-0.014227683,Skewness,1.926718193,Skewness,0.050053268,Skewness,-0.076927344
CUST0201,Female,East,Headphones,Accessories,49,100,2,200,9.8,6/1/2023,Returned,,Range,51,Range,3079.560612,Range,4,Range,7470,Range,14.98,Range,367
CUST0283,Female,West,Mouse,Accessories,67,30,3,90,5.65,9/13/2023,In Transit,,Minimum,18,Minimum,30,Minimum,1,Minimum,30,Minimum,5,Minimum,44927
CUST0199,Female,West,Keyboard,Accessories,41,50,5,250,7.13,2/17/2023,Delivered,,Maximum,69,Maximum,3109.560612,Maximum,5,Maximum,7500,Maximum,19.98,Maximum,45294
CUST0039,Male,South,Keyboard,Accessories,60,50,4,200,10.91,12/10/2023,Returned,,Sum,46926,Sum,457703.777,Sum,3008,Sum,1346600,Sum,12416.39,Sum,45114813
CUST0276,Male,West,Mouse,Accessories,66,30,1,30,11.36,6/29/2023,In Transit,,Count,1000,Count,1000,Count,1000,Count,1000,Count,1000,Count,1000
CUST0143,Female,Unknown,Smartwatch,Wearables,36,200,3,600,7.89,7/14/2023,Delivered,,Confidence Level(95.0%),0.884717437,Confidence Level(95.0%),33.33772778,Confidence Level(95.0%),0.087140068,Confidence Level(95.0%),113.8106439,Confidence Level(95.0%),0.273796747,Confidence Level(95.0%),6.732750268
CUST0139,Male,North,Laptop,Electronics,57,1500,4,6000,10.92,5/13/2023,In Transit,,,,,,,,,,,,,
CUST0210,Male,South,Smartphone,Electronics,30,800,2,1600,11.44,6/9/2023,Returned,,,Corelation,,,,,,,,,,
CUST0293,Female,East,Smartwatch,Wearables,32,200,5,1000,7.16,6/21/2023,In Transit,,,Age,Unit Price,Quantity,Total Price,Shipping Fee,Order Date,,,,,
CUST0049,Female,West,Monitor,Electronics,59,300,4,1200,17.37,11/26/2023,In Transit,,Age,1,,,,,,,,,,
CUST0283,Female,East,Smartphone,Electronics,67,800,5,4000,12.17,11/8/2023,Delivered,,Unit Price,0.054736679,1,,,,,,,,,
CUST0196,Female,South,Mouse,Accessories,37,30,3,90,19.41,12/27/2023,Returned,,Quantity,0.016479266,0.002677965,1,,,,,,,,
CUST0050,Male,North,Mouse,Accessories,49,30,3,90,6.97,6/6/2023,Returned,,Total Price,0.038585656,0.82436007,0.360876679,1,,,,,,,
CUST0007,Female,East,Headphones,Accessories,52,100,2,200,12,10/28/2023,In Transit,,Shipping Fee,0.02400776,0.01685123,0.045812158,0.003248559,1,,,,,,
CUST0242,Male,North,Smartphone,Electronics,58,800,4,3200,18.11,12/30/2023,Unknown,,Order Date,0.053383838,0.015327518,0.011724352,0.022545366,-0.013027499,1,,,,,
CUST0042,Female,South,Keyboard,Accessories,57,50,1,50,9.6,12/4/2023,Delivered,,,,,,,,,,,,,
CUST0264,Male,East,Smartphone,Electronics,59,1658.432327,2,1600,11.59,2/1/2023,In Transit,,,,,,,,,,,,,
CUST0053,Female,North,Smartwatch,Wearables,25,200,1,200,14.9,8/14/2023,Delivered,Isblank check,0,0,0,0,0,0,0,0,0,0,0,0
CUST0154,Female,East,Smartphone,Electronics,31,800,1,800,19.22,12/7/2023,In Transit,,,,,,,,,,,,,
CUST0190,Male,North,Keyboard,Accessories,28,50,4,200,15.31,6/28/2023,Delivered,,,,,,,,,,,,,
CUST0038,Female,East,Monitor,Electronics,57,300,2,600,12.38,11/17/2023,Returned,,,,,,,,,,,,,
CUST0288,Female,South,Laptop,Electronics,49,1500,4,6000,12.91,1/25/2023,Delivered,,,,,,,,,,,,,
CUST0124,Female,South,Monitor,Electronics,53,300,2,600,18.38,9/5/2023,In Transit,,,,,,,,,,,,,
CUST0298,Female,South,Headphones,Accessories,58,100,5,500,7.41,9/17/2023,Delivered,,,,,,,,,,,,,
CUST0211,Female,South,Mouse,Accessories,35,30,3,90,11.42,12/25/2023,Delivered,,,,,,,,,,,,,
CUST0060,Male,North,Laptop,Electronics,41,1500,4,6000,7.13,1/14/2023,Delivered,,,,,,,,,,,,,
CUST0284,Female,West,Monitor,Electronics,64,300,1,300,6.55,8/1/2023,Returned,,,,,,,,,,,,,
CUST0282,Male,North,Smartphone,Electronics,49,800,2,1600,9.72,2/12/2023,Delivered,,,,,,,,,,,,,
CUST0205,Female,South,Monitor,Electronics,43,300,2,600,18.27,5/18/2023,In Transit,,,,,,,,,,,,,
CUST0222,Female,Unknown,Smartphone,Electronics,61,800,2,1600,6.01,10/3/2023,Returned,,,,,,,,,,,,,
